Continent,History Oil-Proven Reserves (Bbbls),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa,Algeria,"8,2","8,1","9,4","9,2","9,0","8,8","8,8","8,6","9,2","9,2","9,2","9,2","9,2","9,2","10,0","10,0","10,8","11,2","11,3","11,3","11,3","11,3","11,3","11,8","11,8","12,3","12,3","12,2","12,2","12,2","12,2","12,2","12,2","12,2","12,2","12,2","12,2","12,2","12,2","12,2","12,2"
Africa,Angola,"1,4","1,1","1,5","1,7","2,1","2,0","1,4","2,0","2,0","2,1","1,6","1,5","1,3","1,9","3,0","3,1","3,7","3,9","4,0","5,1","6,0","6,5","8,9","8,8","9,0","9,1","9,3","9,5","9,5","9,5","9,1","9,1","9,1","9,0","8,4","9,5","9,5","8,4","8,2","7,8","7,8"
Africa,Chad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,9","0,9","0,9","0,9","0,9","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5"
Africa,Republic of Congo,"0,7","0,7","0,8","0,7","0,8","0,8","0,7","0,7","0,8","0,7","0,8","0,7","0,7","0,7","1,4","1,3","1,6","1,6","1,7","1,7","1,5","1,5","1,5","1,8","1,8","1,9","1,9","1,9","1,9","2,0","2,0","2,0","2,0","2,7","2,9","3,0","3,0","3,0","3,0","2,9","2,9"
Africa,Egypt,"2,9","3,5","3,7","4,0","4,0","3,8","4,5","4,7","4,3","4,3","3,5","3,5","3,4","3,4","3,9","3,8","3,8","3,7","3,8","3,8","3,6","3,7","3,5","3,5","3,6","3,7","3,7","4,1","4,2","4,4","4,5","4,3","4,2","3,9","3,7","3,5","3,4","3,3","3,2","3,1","3,1"
Africa,Equatorial Guinea,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"0,3","0,3","0,3","0,3","0,6","0,6","0,6","0,6","0,6","0,8","1,1","1,1","1,3","1,8","1,8","1,8","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,1","1,1","1,1","1,1","1,1","1,1","1,1"
Africa,Gabon,"0,5","0,5","0,5","0,5","0,6","0,7","0,6","1,0","0,9","1,0","0,9","0,9","0,8","0,7","1,4","1,5","2,8","2,7","2,6","2,6","2,4","2,4","2,4","2,3","2,2","2,1","2,2","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0","2,0"
Africa,Libya,"20,3","22,6","22,2","21,8","21,4","21,3","22,8","22,8","22,8","22,8","22,8","22,8","22,8","22,8","22,8","29,5","29,5","29,5","29,5","29,5","36,0","36,0","36,0","39,1","39,1","41,5","41,5","43,7","44,3","46,4","47,1","48,0","48,5","48,4","48,4","48,4","48,4","48,4","48,4","48,4","48,4"
Africa,Nigeria,"16,7","16,5","16,8","16,6","16,7","16,6","16,1","16,0","16,0","16,0","17,1","20,0","21,0","21,0","21,0","20,8","20,8","20,8","22,5","29,0","29,0","31,5","34,3","35,3","35,9","36,2","37,2","37,2","37,2","37,2","37,2","36,2","37,1","37,1","37,4","37,1","37,5","37,5","37,0","36,9","36,9"
Africa,South Sudan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5"
